"","climate_shock","scenario","recovery_time_cat","optimized","climate_shock_labels","summer"
"1","apr_aug",1,"3–12","Optimized fishing, status quo policy","Apr-Aug","Summer"
"2","apr_aug",9,"60–100","No fishing","Apr-Aug","Summer"
"3","apr_aug",10,"No recovery","No fishing","Apr-Aug","Summer"
"4","apr_aug",8,"36–60","Optimized fishing, status quo policy","Apr-Aug","Summer"
"5","apr_aug",5,"12–24","Optimized fishing, status quo policy","Apr-Aug","Summer"
"6","apr_aug",2,"3–12","Optimized fishing, status quo policy","Apr-Aug","Summer"
"7","apr_aug",1,"3–12","No fishing","Apr-Aug","Summer"
"8","apr_aug",2,"12–24","No fishing","Apr-Aug","Summer"
"9","apr_aug",6,"3–12","Optimized fishing, status quo policy","Apr-Aug","Summer"
"10","apr_aug",4,"12–24","No fishing","Apr-Aug","Summer"
"11","apr_aug",5,"3–12","No fishing","Apr-Aug","Summer"
"12","apr_aug",6,"12–24","No fishing","Apr-Aug","Summer"
"13","apr_aug",4,"60–100","Optimized fishing, status quo policy","Apr-Aug","Summer"
"14","apr_aug",8,"36–60","No fishing","Apr-Aug","Summer"
"15","apr_aug",7,"24–36","Optimized fishing, status quo policy","Apr-Aug","Summer"
"16","apr_aug",3,"60–100","Optimized fishing, status quo policy","Apr-Aug","Summer"
"17","apr_aug",9,"No recovery","Optimized fishing, status quo policy","Apr-Aug","Summer"
"18","apr_aug",3,"3–12","No fishing","Apr-Aug","Summer"
"19","apr_aug",7,"24–36","No fishing","Apr-Aug","Summer"
"20","apr_aug",10,"No recovery","Optimized fishing, status quo policy","Apr-Aug","Summer"
"21","august",1,"3–12","No fishing","August","Summer"
"22","august",7,"36–60","Optimized fishing, status quo policy","August","Summer"
"23","august",5,"3–12","No fishing","August","Summer"
"24","august",4,"12–24","No fishing","August","Summer"
"25","august",3,"3–12","Optimized fishing, status quo policy","August","Summer"
"26","august",8,"60–100","Optimized fishing, status quo policy","August","Summer"
"27","august",5,"3–12","Optimized fishing, status quo policy","August","Summer"
"28","august",1,"36–60","Optimized fishing, status quo policy","August","Summer"
"29","august",2,"3–12","No fishing","August","Summer"
"30","august",2,"24–36","Optimized fishing, status quo policy","August","Summer"
"31","august",6,"3–12","No fishing","August","Summer"
"32","august",6,"3–12","Optimized fishing, status quo policy","August","Summer"
"33","august",9,"36–60","Optimized fishing, status quo policy","August","Summer"
"34","august",8,"36–60","No fishing","August","Summer"
"35","august",10,"36–60","No fishing","August","Summer"
"36","august",4,"3–12","Optimized fishing, status quo policy","August","Summer"
"37","august",10,"No recovery","Optimized fishing, status quo policy","August","Summer"
"38","august",3,"3–12","No fishing","August","Summer"
"39","august",9,"36–60","No fishing","August","Summer"
"40","august",7,"36–60","No fishing","August","Summer"
"41","fall",4,"3–12","No fishing","Sep-Nov","Other"
"42","fall",10,"No recovery","Optimized fishing, status quo policy","Sep-Nov","Other"
"43","fall",5,"3–12","No fishing","Sep-Nov","Other"
"44","fall",8,"24–36","Optimized fishing, status quo policy","Sep-Nov","Other"
"45","fall",1,"12–24","Optimized fishing, status quo policy","Sep-Nov","Other"
"46","fall",8,"24–36","No fishing","Sep-Nov","Other"
"47","fall",7,"24–36","Optimized fishing, status quo policy","Sep-Nov","Other"
"48","fall",2,"24–36","Optimized fishing, status quo policy","Sep-Nov","Other"
"49","fall",6,"3–12","No fishing","Sep-Nov","Other"
"50","fall",6,"3–12","Optimized fishing, status quo policy","Sep-Nov","Other"
"51","fall",9,"36–60","Optimized fishing, status quo policy","Sep-Nov","Other"
"52","fall",3,"3–12","No fishing","Sep-Nov","Other"
"53","fall",3,"3–12","Optimized fishing, status quo policy","Sep-Nov","Other"
"54","fall",4,"No recovery","Optimized fishing, status quo policy","Sep-Nov","Other"
"55","fall",2,"3–12","No fishing","Sep-Nov","Other"
"56","fall",9,"24–36","No fishing","Sep-Nov","Other"
"57","fall",5,"3–12","Optimized fishing, status quo policy","Sep-Nov","Other"
"58","fall",7,"3–12","No fishing","Sep-Nov","Other"
"59","fall",10,"24–36","No fishing","Sep-Nov","Other"
"60","fall",1,"3–12","No fishing","Sep-Nov","Other"
"61","feb_aug",5,"12–24","Optimized fishing, status quo policy","Feb-Aug","Summer"
"62","feb_aug",9,"60–100","No fishing","Feb-Aug","Summer"
"63","feb_aug",7,"No recovery","Optimized fishing, status quo policy","Feb-Aug","Summer"
"64","feb_aug",4,"12–24","No fishing","Feb-Aug","Summer"
"65","feb_aug",6,"24–36","Optimized fishing, status quo policy","Feb-Aug","Summer"
"66","feb_aug",2,"12–24","No fishing","Feb-Aug","Summer"
"67","feb_aug",10,"No recovery","Optimized fishing, status quo policy","Feb-Aug","Summer"
"68","feb_aug",4,"24–36","Optimized fishing, status quo policy","Feb-Aug","Summer"
"69","feb_aug",8,"36–60","No fishing","Feb-Aug","Summer"
"70","feb_aug",9,"No recovery","Optimized fishing, status quo policy","Feb-Aug","Summer"
"71","feb_aug",3,"24–36","Optimized fishing, status quo policy","Feb-Aug","Summer"
"72","feb_aug",10,"60–100","No fishing","Feb-Aug","Summer"
"73","feb_aug",8,"No recovery","Optimized fishing, status quo policy","Feb-Aug","Summer"
"74","feb_aug",7,"36–60","No fishing","Feb-Aug","Summer"
"75","feb_aug",5,"12–24","No fishing","Feb-Aug","Summer"
"76","feb_aug",1,"12–24","No fishing","Feb-Aug","Summer"
"77","feb_aug",2,"12–24","Optimized fishing, status quo policy","Feb-Aug","Summer"
"78","feb_aug",6,"24–36","No fishing","Feb-Aug","Summer"
"79","feb_aug",1,"3–12","Optimized fishing, status quo policy","Feb-Aug","Summer"
"80","feb_aug",3,"12–24","No fishing","Feb-Aug","Summer"
"81","jan_aug",10,"No recovery","Optimized fishing, status quo policy","Jan-Aug","Summer"
"82","jan_aug",2,"12–24","No fishing","Jan-Aug","Summer"
"83","jan_aug",5,"24–36","Optimized fishing, status quo policy","Jan-Aug","Summer"
"84","jan_aug",7,"36–60","Optimized fishing, status quo policy","Jan-Aug","Summer"
"85","jan_aug",9,"No recovery","Optimized fishing, status quo policy","Jan-Aug","Summer"
"86","jan_aug",10,"No recovery","No fishing","Jan-Aug","Summer"
"87","jan_aug",8,"No recovery","Optimized fishing, status quo policy","Jan-Aug","Summer"
"88","jan_aug",4,"12–24","Optimized fishing, status quo policy","Jan-Aug","Summer"
"89","jan_aug",6,"36–60","No fishing","Jan-Aug","Summer"
"90","jan_aug",1,"24–36","Optimized fishing, status quo policy","Jan-Aug","Summer"
"91","jan_aug",1,"12–24","No fishing","Jan-Aug","Summer"
"92","jan_aug",9,"No recovery","No fishing","Jan-Aug","Summer"
"93","jan_aug",3,"12–24","No fishing","Jan-Aug","Summer"
"94","jan_aug",6,"24–36","Optimized fishing, status quo policy","Jan-Aug","Summer"
"95","jan_aug",5,"12–24","No fishing","Jan-Aug","Summer"
"96","jan_aug",4,"12–24","No fishing","Jan-Aug","Summer"
"97","jan_aug",2,"3–12","Optimized fishing, status quo policy","Jan-Aug","Summer"
"98","jan_aug",7,"36–60","No fishing","Jan-Aug","Summer"
"99","jan_aug",8,"36–60","No fishing","Jan-Aug","Summer"
"100","jan_aug",3,"36–60","Optimized fishing, status quo policy","Jan-Aug","Summer"
"101","july",7,"24–36","Optimized fishing, status quo policy","July","Summer"
"102","july",1,"3–12","No fishing","July","Summer"
"103","july",7,"12–24","No fishing","July","Summer"
"104","july",8,"No recovery","Optimized fishing, status quo policy","July","Summer"
"105","july",4,"60–100","Optimized fishing, status quo policy","July","Summer"
"106","july",6,"3–12","No fishing","July","Summer"
"107","july",9,"No recovery","Optimized fishing, status quo policy","July","Summer"
"108","july",1,"36–60","Optimized fishing, status quo policy","July","Summer"
"109","july",5,"3–12","No fishing","July","Summer"
"110","july",3,"3–12","Optimized fishing, status quo policy","July","Summer"
"111","july",10,"36–60","No fishing","July","Summer"
"112","july",10,"36–60","Optimized fishing, status quo policy","July","Summer"
"113","july",4,"3–12","No fishing","July","Summer"
"114","july",3,"3–12","No fishing","July","Summer"
"115","july",5,"12–24","Optimized fishing, status quo policy","July","Summer"
"116","july",2,"No recovery","Optimized fishing, status quo policy","July","Summer"
"117","july",8,"36–60","No fishing","July","Summer"
"118","july",9,"36–60","No fishing","July","Summer"
"119","july",6,"12–24","Optimized fishing, status quo policy","July","Summer"
"120","july",2,"3–12","No fishing","July","Summer"
"121","jun_dec",5,"24–36","No fishing","Jun-Dec","Summer"
"122","jun_dec",8,"No recovery","Optimized fishing, status quo policy","Jun-Dec","Summer"
"123","jun_dec",10,"No recovery","No fishing","Jun-Dec","Summer"
"124","jun_dec",1,"24–36","No fishing","Jun-Dec","Summer"
"125","jun_dec",4,"24–36","Optimized fishing, status quo policy","Jun-Dec","Summer"
"126","jun_dec",6,"24–36","Optimized fishing, status quo policy","Jun-Dec","Summer"
"127","jun_dec",3,"24–36","No fishing","Jun-Dec","Summer"
"128","jun_dec",4,"24–36","No fishing","Jun-Dec","Summer"
"129","jun_dec",9,"60–100","No fishing","Jun-Dec","Summer"
"130","jun_dec",3,"12–24","Optimized fishing, status quo policy","Jun-Dec","Summer"
"131","jun_dec",1,"24–36","Optimized fishing, status quo policy","Jun-Dec","Summer"
"132","jun_dec",8,"36–60","No fishing","Jun-Dec","Summer"
"133","jun_dec",2,"No recovery","Optimized fishing, status quo policy","Jun-Dec","Summer"
"134","jun_dec",9,"No recovery","Optimized fishing, status quo policy","Jun-Dec","Summer"
"135","jun_dec",7,"24–36","No fishing","Jun-Dec","Summer"
"136","jun_dec",7,"24–36","Optimized fishing, status quo policy","Jun-Dec","Summer"
"137","jun_dec",10,"No recovery","Optimized fishing, status quo policy","Jun-Dec","Summer"
"138","jun_dec",2,"24–36","No fishing","Jun-Dec","Summer"
"139","jun_dec",5,"24–36","Optimized fishing, status quo policy","Jun-Dec","Summer"
"140","jun_dec",6,"24–36","No fishing","Jun-Dec","Summer"
"141","jun_jul",8,"36–60","Optimized fishing, status quo policy","Jun-Jul","Summer"
"142","jun_jul",6,"3–12","No fishing","Jun-Jul","Summer"
"143","jun_jul",7,"24–36","Optimized fishing, status quo policy","Jun-Jul","Summer"
"144","jun_jul",1,"12–24","No fishing","Jun-Jul","Summer"
"145","jun_jul",9,"36–60","No fishing","Jun-Jul","Summer"
"146","jun_jul",5,"3–12","No fishing","Jun-Jul","Summer"
"147","jun_jul",2,"36–60","Optimized fishing, status quo policy","Jun-Jul","Summer"
"148","jun_jul",4,"12–24","No fishing","Jun-Jul","Summer"
"149","jun_jul",10,"36–60","No fishing","Jun-Jul","Summer"
"150","jun_jul",6,"12–24","Optimized fishing, status quo policy","Jun-Jul","Summer"
"151","jun_jul",5,"3–12","Optimized fishing, status quo policy","Jun-Jul","Summer"
"152","jun_jul",3,"3–12","Optimized fishing, status quo policy","Jun-Jul","Summer"
"153","jun_jul",8,"24–36","No fishing","Jun-Jul","Summer"
"154","jun_jul",4,"12–24","Optimized fishing, status quo policy","Jun-Jul","Summer"
"155","jun_jul",10,"No recovery","Optimized fishing, status quo policy","Jun-Jul","Summer"
"156","jun_jul",2,"12–24","No fishing","Jun-Jul","Summer"
"157","jun_jul",3,"3–12","No fishing","Jun-Jul","Summer"
"158","jun_jul",7,"24–36","No fishing","Jun-Jul","Summer"
"159","jun_jul",9,"36–60","Optimized fishing, status quo policy","Jun-Jul","Summer"
"160","jun_jul",1,"3–12","Optimized fishing, status quo policy","Jun-Jul","Summer"
"161","jun_nov",7,"36–60","Optimized fishing, status quo policy","Jun-Nov","Summer"
"162","jun_nov",6,"24–36","Optimized fishing, status quo policy","Jun-Nov","Summer"
"163","jun_nov",5,"12–24","Optimized fishing, status quo policy","Jun-Nov","Summer"
"164","jun_nov",3,"3–12","No fishing","Jun-Nov","Summer"
"165","jun_nov",9,"60–100","No fishing","Jun-Nov","Summer"
"166","jun_nov",4,"24–36","Optimized fishing, status quo policy","Jun-Nov","Summer"
"167","jun_nov",9,"No recovery","Optimized fishing, status quo policy","Jun-Nov","Summer"
"168","jun_nov",10,"No recovery","Optimized fishing, status quo policy","Jun-Nov","Summer"
"169","jun_nov",8,"60–100","Optimized fishing, status quo policy","Jun-Nov","Summer"
"170","jun_nov",1,"3–12","No fishing","Jun-Nov","Summer"
"171","jun_nov",1,"3–12","Optimized fishing, status quo policy","Jun-Nov","Summer"
"172","jun_nov",5,"3–12","No fishing","Jun-Nov","Summer"
"173","jun_nov",2,"3–12","No fishing","Jun-Nov","Summer"
"174","jun_nov",7,"24–36","No fishing","Jun-Nov","Summer"
"175","jun_nov",2,"3–12","Optimized fishing, status quo policy","Jun-Nov","Summer"
"176","jun_nov",10,"No recovery","No fishing","Jun-Nov","Summer"
"177","jun_nov",8,"36–60","No fishing","Jun-Nov","Summer"
"178","jun_nov",6,"3–12","No fishing","Jun-Nov","Summer"
"179","jun_nov",3,"12–24","Optimized fishing, status quo policy","Jun-Nov","Summer"
"180","jun_nov",4,"3–12","No fishing","Jun-Nov","Summer"
"181","jun_oct",4,"3–12","No fishing","Jun-Oct","Summer"
"182","jun_oct",6,"3–12","Optimized fishing, status quo policy","Jun-Oct","Summer"
"183","jun_oct",2,"3–12","No fishing","Jun-Oct","Summer"
"184","jun_oct",4,"36–60","Optimized fishing, status quo policy","Jun-Oct","Summer"
"185","jun_oct",9,"No recovery","Optimized fishing, status quo policy","Jun-Oct","Summer"
"186","jun_oct",10,"No recovery","Optimized fishing, status quo policy","Jun-Oct","Summer"
"187","jun_oct",8,"60–100","Optimized fishing, status quo policy","Jun-Oct","Summer"
"188","jun_oct",5,"3–12","Optimized fishing, status quo policy","Jun-Oct","Summer"
"189","jun_oct",1,"24–36","Optimized fishing, status quo policy","Jun-Oct","Summer"
"190","jun_oct",1,"12–24","No fishing","Jun-Oct","Summer"
"191","jun_oct",2,"36–60","Optimized fishing, status quo policy","Jun-Oct","Summer"
"192","jun_oct",8,"36–60","No fishing","Jun-Oct","Summer"
"193","jun_oct",5,"3–12","No fishing","Jun-Oct","Summer"
"194","jun_oct",6,"12–24","No fishing","Jun-Oct","Summer"
"195","jun_oct",7,"24–36","No fishing","Jun-Oct","Summer"
"196","jun_oct",7,"No recovery","Optimized fishing, status quo policy","Jun-Oct","Summer"
"197","jun_oct",9,"60–100","No fishing","Jun-Oct","Summer"
"198","jun_oct",10,"No recovery","No fishing","Jun-Oct","Summer"
"199","jun_oct",3,"3–12","No fishing","Jun-Oct","Summer"
"200","jun_oct",3,"24–36","Optimized fishing, status quo policy","Jun-Oct","Summer"
"201","jun_sep",5,"12–24","No fishing","Jun-Sep","Summer"
"202","jun_sep",1,"3–12","No fishing","Jun-Sep","Summer"
"203","jun_sep",8,"No recovery","Optimized fishing, status quo policy","Jun-Sep","Summer"
"204","jun_sep",4,"3–12","No fishing","Jun-Sep","Summer"
"205","jun_sep",2,"12–24","Optimized fishing, status quo policy","Jun-Sep","Summer"
"206","jun_sep",5,"12–24","Optimized fishing, status quo policy","Jun-Sep","Summer"
"207","jun_sep",3,"12–24","No fishing","Jun-Sep","Summer"
"208","jun_sep",3,"3–12","Optimized fishing, status quo policy","Jun-Sep","Summer"
"209","jun_sep",10,"No recovery","No fishing","Jun-Sep","Summer"
"210","jun_sep",10,"No recovery","Optimized fishing, status quo policy","Jun-Sep","Summer"
"211","jun_sep",4,"3–12","Optimized fishing, status quo policy","Jun-Sep","Summer"
"212","jun_sep",7,"60–100","Optimized fishing, status quo policy","Jun-Sep","Summer"
"213","jun_sep",1,"3–12","Optimized fishing, status quo policy","Jun-Sep","Summer"
"214","jun_sep",8,"36–60","No fishing","Jun-Sep","Summer"
"215","jun_sep",6,"12–24","Optimized fishing, status quo policy","Jun-Sep","Summer"
"216","jun_sep",2,"3–12","No fishing","Jun-Sep","Summer"
"217","jun_sep",7,"24–36","No fishing","Jun-Sep","Summer"
"218","jun_sep",9,"60–100","No fishing","Jun-Sep","Summer"
"219","jun_sep",9,"No recovery","Optimized fishing, status quo policy","Jun-Sep","Summer"
"220","jun_sep",6,"12–24","No fishing","Jun-Sep","Summer"
"221","june",5,"3–12","No fishing","June","Summer"
"222","june",10,"36–60","No fishing","June","Summer"
"223","june",8,"No recovery","Optimized fishing, status quo policy","June","Summer"
"224","june",10,"36–60","Optimized fishing, status quo policy","June","Summer"
"225","june",9,"12–24","No fishing","June","Summer"
"226","june",7,"36–60","Optimized fishing, status quo policy","June","Summer"
"227","june",3,"3–12","No fishing","June","Summer"
"228","june",6,"3–12","No fishing","June","Summer"
"229","june",4,"3–12","No fishing","June","Summer"
"230","june",5,"12–24","Optimized fishing, status quo policy","June","Summer"
"231","june",9,"No recovery","Optimized fishing, status quo policy","June","Summer"
"232","june",3,"24–36","Optimized fishing, status quo policy","June","Summer"
"233","june",8,"3–12","No fishing","June","Summer"
"234","june",6,"24–36","Optimized fishing, status quo policy","June","Summer"
"235","june",2,"3–12","No fishing","June","Summer"
"236","june",1,"3–12","No fishing","June","Summer"
"237","june",4,"24–36","Optimized fishing, status quo policy","June","Summer"
"238","june",1,"3–12","Optimized fishing, status quo policy","June","Summer"
"239","june",7,"3–12","No fishing","June","Summer"
"240","june",2,"No recovery","Optimized fishing, status quo policy","June","Summer"
"241","mar_aug",3,"12–24","No fishing","Mar-Aug","Summer"
"242","mar_aug",8,"36–60","No fishing","Mar-Aug","Summer"
"243","mar_aug",7,"60–100","Optimized fishing, status quo policy","Mar-Aug","Summer"
"244","mar_aug",5,"24–36","Optimized fishing, status quo policy","Mar-Aug","Summer"
"245","mar_aug",9,"No recovery","Optimized fishing, status quo policy","Mar-Aug","Summer"
"246","mar_aug",2,"12–24","No fishing","Mar-Aug","Summer"
"247","mar_aug",6,"No recovery","Optimized fishing, status quo policy","Mar-Aug","Summer"
"248","mar_aug",4,"12–24","Optimized fishing, status quo policy","Mar-Aug","Summer"
"249","mar_aug",10,"No recovery","Optimized fishing, status quo policy","Mar-Aug","Summer"
"250","mar_aug",7,"24–36","No fishing","Mar-Aug","Summer"
"251","mar_aug",8,"No recovery","Optimized fishing, status quo policy","Mar-Aug","Summer"
"252","mar_aug",10,"60–100","No fishing","Mar-Aug","Summer"
"253","mar_aug",5,"12–24","No fishing","Mar-Aug","Summer"
"254","mar_aug",6,"24–36","No fishing","Mar-Aug","Summer"
"255","mar_aug",1,"36–60","Optimized fishing, status quo policy","Mar-Aug","Summer"
"256","mar_aug",3,"36–60","Optimized fishing, status quo policy","Mar-Aug","Summer"
"257","mar_aug",2,"12–24","Optimized fishing, status quo policy","Mar-Aug","Summer"
"258","mar_aug",1,"3–12","No fishing","Mar-Aug","Summer"
"259","mar_aug",9,"60–100","No fishing","Mar-Aug","Summer"
"260","mar_aug",4,"12–24","No fishing","Mar-Aug","Summer"
"261","may_aug",7,"24–36","No fishing","May-Aug","Summer"
"262","may_aug",9,"No recovery","Optimized fishing, status quo policy","May-Aug","Summer"
"263","may_aug",6,"3–12","Optimized fishing, status quo policy","May-Aug","Summer"
"264","may_aug",5,"12–24","Optimized fishing, status quo policy","May-Aug","Summer"
"265","may_aug",2,"12–24","No fishing","May-Aug","Summer"
"266","may_aug",2,"3–12","Optimized fishing, status quo policy","May-Aug","Summer"
"267","may_aug",7,"24–36","Optimized fishing, status quo policy","May-Aug","Summer"
"268","may_aug",8,"60–100","Optimized fishing, status quo policy","May-Aug","Summer"
"269","may_aug",1,"3–12","No fishing","May-Aug","Summer"
"270","may_aug",8,"36–60","No fishing","May-Aug","Summer"
"271","may_aug",5,"3–12","No fishing","May-Aug","Summer"
"272","may_aug",6,"12–24","No fishing","May-Aug","Summer"
"273","may_aug",3,"3–12","Optimized fishing, status quo policy","May-Aug","Summer"
"274","may_aug",10,"No recovery","Optimized fishing, status quo policy","May-Aug","Summer"
"275","may_aug",9,"60–100","No fishing","May-Aug","Summer"
"276","may_aug",10,"60–100","No fishing","May-Aug","Summer"
"277","may_aug",1,"24–36","Optimized fishing, status quo policy","May-Aug","Summer"
"278","may_aug",3,"3–12","No fishing","May-Aug","Summer"
"279","may_aug",4,"3–12","No fishing","May-Aug","Summer"
"280","may_aug",4,"3–12","Optimized fishing, status quo policy","May-Aug","Summer"
"281","spring",8,"60–100","Optimized fishing, status quo policy","Mar-May","Other"
"282","spring",1,"3–12","No fishing","Mar-May","Other"
"283","spring",1,"36–60","Optimized fishing, status quo policy","Mar-May","Other"
"284","spring",5,"36–60","No fishing","Mar-May","Other"
"285","spring",10,"24–36","No fishing","Mar-May","Other"
"286","spring",5,"36–60","Optimized fishing, status quo policy","Mar-May","Other"
"287","spring",4,"3–12","No fishing","Mar-May","Other"
"288","spring",10,"36–60","Optimized fishing, status quo policy","Mar-May","Other"
"289","spring",9,"36–60","No fishing","Mar-May","Other"
"290","spring",9,"12–24","Optimized fishing, status quo policy","Mar-May","Other"
"291","spring",3,"24–36","No fishing","Mar-May","Other"
"292","spring",8,"24–36","No fishing","Mar-May","Other"
"293","spring",4,"3–12","Optimized fishing, status quo policy","Mar-May","Other"
"294","spring",2,"3–12","Optimized fishing, status quo policy","Mar-May","Other"
"295","spring",3,"24–36","Optimized fishing, status quo policy","Mar-May","Other"
"296","spring",6,"No recovery","Optimized fishing, status quo policy","Mar-May","Other"
"297","spring",6,"36–60","No fishing","Mar-May","Other"
"298","spring",7,"24–36","No fishing","Mar-May","Other"
"299","spring",7,"60–100","Optimized fishing, status quo policy","Mar-May","Other"
"300","spring",2,"3–12","No fishing","Mar-May","Other"
"301","summer",2,"12–24","Optimized fishing, status quo policy","Jun-Aug","Summer"
"302","summer",9,"36–60","No fishing","Jun-Aug","Summer"
"303","summer",7,"24–36","No fishing","Jun-Aug","Summer"
"304","summer",1,"24–36","Optimized fishing, status quo policy","Jun-Aug","Summer"
"305","summer",3,"3–12","No fishing","Jun-Aug","Summer"
"306","summer",4,"3–12","No fishing","Jun-Aug","Summer"
"307","summer",5,"60–100","Optimized fishing, status quo policy","Jun-Aug","Summer"
"308","summer",3,"12–24","Optimized fishing, status quo policy","Jun-Aug","Summer"
"309","summer",10,"No recovery","Optimized fishing, status quo policy","Jun-Aug","Summer"
"310","summer",8,"36–60","No fishing","Jun-Aug","Summer"
"311","summer",2,"3–12","No fishing","Jun-Aug","Summer"
"312","summer",6,"3–12","No fishing","Jun-Aug","Summer"
"313","summer",6,"24–36","Optimized fishing, status quo policy","Jun-Aug","Summer"
"314","summer",9,"No recovery","Optimized fishing, status quo policy","Jun-Aug","Summer"
"315","summer",7,"24–36","Optimized fishing, status quo policy","Jun-Aug","Summer"
"316","summer",4,"24–36","Optimized fishing, status quo policy","Jun-Aug","Summer"
"317","summer",8,"No recovery","Optimized fishing, status quo policy","Jun-Aug","Summer"
"318","summer",1,"3–12","No fishing","Jun-Aug","Summer"
"319","summer",5,"3–12","No fishing","Jun-Aug","Summer"
"320","summer",10,"60–100","No fishing","Jun-Aug","Summer"
"321","winter",10,"24–36","Optimized fishing, status quo policy","Dec-Feb","Other"
"322","winter",2,"3–12","Optimized fishing, status quo policy","Dec-Feb","Other"
"323","winter",3,"3–12","No fishing","Dec-Feb","Other"
"324","winter",7,"24–36","No fishing","Dec-Feb","Other"
"325","winter",9,"60–100","Optimized fishing, status quo policy","Dec-Feb","Other"
"326","winter",5,"36–60","Optimized fishing, status quo policy","Dec-Feb","Other"
"327","winter",1,"24–36","Optimized fishing, status quo policy","Dec-Feb","Other"
"328","winter",4,"No recovery","Optimized fishing, status quo policy","Dec-Feb","Other"
"329","winter",3,"24–36","Optimized fishing, status quo policy","Dec-Feb","Other"
"330","winter",2,"3–12","No fishing","Dec-Feb","Other"
"331","winter",8,"24–36","No fishing","Dec-Feb","Other"
"332","winter",8,"24–36","Optimized fishing, status quo policy","Dec-Feb","Other"
"333","winter",7,"60–100","Optimized fishing, status quo policy","Dec-Feb","Other"
"334","winter",6,"24–36","No fishing","Dec-Feb","Other"
"335","winter",4,"24–36","No fishing","Dec-Feb","Other"
"336","winter",6,"24–36","Optimized fishing, status quo policy","Dec-Feb","Other"
"337","winter",1,"3–12","No fishing","Dec-Feb","Other"
"338","winter",10,"24–36","No fishing","Dec-Feb","Other"
"339","winter",5,"12–24","No fishing","Dec-Feb","Other"
"340","winter",9,"36–60","No fishing","Dec-Feb","Other"
"341","year",10,"No recovery","Optimized fishing, status quo policy","Jan-Dec","Summer"
"342","year",1,"12–24","Optimized fishing, status quo policy","Jan-Dec","Summer"
"343","year",5,"24–36","Optimized fishing, status quo policy","Jan-Dec","Summer"
"344","year",8,"No recovery","Optimized fishing, status quo policy","Jan-Dec","Summer"
"345","year",2,"12–24","Optimized fishing, status quo policy","Jan-Dec","Summer"
"346","year",9,"No recovery","Optimized fishing, status quo policy","Jan-Dec","Summer"
"347","year",3,"12–24","Optimized fishing, status quo policy","Jan-Dec","Summer"
"348","year",6,"36–60","Optimized fishing, status quo policy","Jan-Dec","Summer"
"349","year",4,"24–36","Optimized fishing, status quo policy","Jan-Dec","Summer"
"350","year",7,"36–60","Optimized fishing, status quo policy","Jan-Dec","Summer"
"351","year",1,"12–24","No fishing","Jan-Dec","Summer"
"352","year",2,"24–36","No fishing","Jan-Dec","Summer"
"353","year",3,"24–36","No fishing","Jan-Dec","Summer"
"354","year",4,"24–36","No fishing","Jan-Dec","Summer"
"355","year",5,"24–36","No fishing","Jan-Dec","Summer"
"356","year",6,"24–36","No fishing","Jan-Dec","Summer"
"357","year",7,"36–60","No fishing","Jan-Dec","Summer"
"358","year",8,"36–60","No fishing","Jan-Dec","Summer"
"359","year",9,"No recovery","No fishing","Jan-Dec","Summer"
"360","year",10,"No recovery","No fishing","Jan-Dec","Summer"
